"Lobbyist","Lobbyist Type","Client","Report Type","Filing Date"
"Taylor & Wiley","Contract","Venatus","4th Quarter 2014","01/15/15"
"Taylor & Wiley","Contract","Ryan Heater","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Zaremba Group, LLC on behalf of Progressive Insurance","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Petco","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Priority Parking","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Integral Communities","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Riverview Investments","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Ranch Capital","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Nestle Waters of North America","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Alleghaney Properties, LLC","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","455 Capitol Mall","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Capitol Station 65","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Clear Channel","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Sacramento Basketball Holdings, LLC","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Kennedy Wilson","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Steven Trolio, Trolio Homes","4th Quarter 2014","01/15/15"
"Thomas Law Group","Contract","Jackson Properties John Jackson","4th Quarter 2014","01/15/15"
"Harrison, Temblador, Hungerford & Johnson, LLP","Contract","Republic Services","1st Quarter 2015","04/13/15"
"Harrison, Temblador, Hungerford & Johnson, LLP","Contract","New American Communities/Del Paso Homes, Inc.","1st Quarter 2015","04/13/15"
"Harrison, Temblador, Hungerford & Johnson, LLP","Contract","West Coast Housing Partners/BHT II Parkebridge 531 (Delaware LLC)","1st Quarter 2015","04/13/15"
"Harrison, Temblador, Hungerford & Johnson, LLP","Contract","CA Ventures","1st Quarter 2015","04/13/15"
"Hefner, Stark & Marois, LLP","Contract","The Evergreen Company","1st Quarter 2015","04/07/15"
"Hefner, Stark & Marois, LLP","Contract","Downtown Railyard Venture, LLC","1st Quarter 2015","04/07/15"
"Hefner, Stark & Marois, LLP","Contract","Encore Mckinley Village, LLC","1st Quarter 2015","04/07/15"
"Hefner, Stark & Marois, LLP","Contract","Creekside Natomas Partner Officepark, LLC","1st Quarter 2015","04/07/15"
"Holloway Land Company","Contract","7-Eleven, Inc.","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","ABC Consulting","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","Brothers Development","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","Campass Comerical","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","Cross Development","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","DT Real Estate","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","Evergreen Development/Dollar General Store","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","Foothill Partners","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","Jensen Precast","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","North Star Holistic Collective","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","Saca Commercial","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","Sacramento Sports Center","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","Sisler & Sisler","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","Taylor & Wiley","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","Universal Service Recycling, Inc.","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","Warwick Properties","1st Quarter 2015","04/01/15"
"Holloway Land Company","Contract","Zanker Road Resource Management","1st Quarter 2015","04/01/15"
"King Street Capital Management, L.P.","Business/ Organization","NA","1st Quarter 2015","04/13/15"
"KP Public Affairs","Contract","car2go N.A. LLC","1st Quarter 2015","04/15/15"
"Law Offices of Gregory D. Thatch","Contract","Alleghany Properties, Inc.","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Armstrong Development Properties, Inc.","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Brookfield Natomas, LLC","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Downtown Ford","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Fritz Brown","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Granite Bay Development","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Howe & University, LLC","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","K. Hovnanian Forecast Homes Northern, Inc.","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Kern Schumacher (Natomas Creek,LLC; Natomas Meadows LLC; Commerce Station, LLC; East Commerce Parkway, LLC; Natomas Towne Center, LLC","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Lennar Winncrest, LLC","1st Quarter 2015","04/14/15"
"Law Offices of Gregory D. Thatch","Contract","Lewis Operating Corporation","1st Quarter 2015","04/14/15"
