"Lobbyist","Lobbyist Type","Client","Report Type","Filing Date"
"Edgar and Associates","Contract","BLT Enterprises Inc.","1st Quarter 2010","04/01/10"
"Edgar and Associates","Contract","SAFCA","1st Quarter 2010","04/01/10"
"Hefner, Stark & Marois, LLP","Contract","Lily Company","1st Quarter 2010","05/28/10"
"Hefner, Stark & Marois, LLP","Contract","Lennar Communities","1st Quarter 2010","05/28/10"
"Holloway Land Company","Contract","Drake Developments of California, Inc.","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","21st & I, LLC","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Trammell Crow Residential","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Recycling Industries","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Foothill Partners","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Paul & Milka Lausevic","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","James Marcus","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Investors Choice","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Pacific Housing","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Sisler and Sisler","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","PC & F","1st Quarter 2010","03/31/10"
"Holloway Land Company","Contract","Brothers Development","1st Quarter 2010","03/31/10"
"James Anthony","Contract","El Camino Wellness Center","1st Quarter 2010","04/07/10"
"Law Offices of George Phillips","Contract","Ose Properties","1st Quarter 2010","04/13/10"
"Law Offices of Gregory D. Thatch","Contract","500 Capitol Mall, LLC","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Alleghany Properties, Inc.","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Arden Village, LLC","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Armour Steel Company","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","BFI Waste Services of Sacramento","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Biba Restaurant","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Buzz Oates Companies","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Centex Homes","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","D.R. Horton, Inc.-Sacramento","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Dan Dukes Trucking, Inc.","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Don Glover","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Downtown Ford","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Granite Bay Development","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Homes by Towne","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Jerry Greenberg","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","John Laing Homes","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","JPI, Inc.","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","K. Hovnanian Forecast Homes Northern, Inc.","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","KB Home","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Kern Schumacher (Natomas Creek, LLC; Natomas Meadows, LLC; Commerce Station, LLC; East Commerce Parkway, LLC; and Natomas Towne Center, LLC)","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Kevin Donnelly","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Kip Skidmore","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Larry & Warren Anapolsky (California Loan and Jewelry Company)","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Larry Cassidy","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Lewis Operating Corp.","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Manuel Perry","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","M&H Realty Partners, VI, L.P.","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","McClatchy Management Company","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Mel Rapton Honda","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","North Natomas Infill Builder's Council","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Panatonni Development Company","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Paratransit, Inc.","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Park El Camino-Natomas, LLC","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Presidio Hotel Group","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Priority Ventures","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Regent Development, Inc.","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Richland Communities","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Riverbank Holding Company","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Rubicon Partners, Inc.","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Seth Scott (Urban 44)","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Shea Homes","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Sierra National Construction","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","STL Company, LLC","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Stockton Blvd. Partners, LLC","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Taylor Morrison of California, LLC","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Thomas Holdings, LLC","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Tim Lewis Communities","1st Quarter 2010","04/09/10"
"Law Offices of Gregory D. Thatch","Contract","Yellow Cab Company of Sacramento","1st Quarter 2010","04/09/10"
"Law Offices of Richard H. Hyde","Contract","Z Gallerie","1st Quarter 2010","04/02/10"
"Law Offices of Richard H. Hyde","Contract","13th and I Associates","1st Quarter 2010","04/02/10"
"Law Offices of Richard H. Hyde","Contract","Township 9 (Fomerly known as Capitol Station 65, LLC)","1st Quarter 2010","04/02/10"
"Law Offices of Richard H. Hyde","Contract","California Fairs Financing Authority dba California Construction","1st Quarter 2010","04/02/10"
"Law Offices of Richard H. Hyde","Contract","Lucas Enterprises","1st Quarter 2010","04/02/10"
"Law Offices of Richard H. Hyde","Contract","Sotiris K. Kolkotronis dba SKK Development Company","1st Quarter 2010","04/02/10"
"Law Offices of Richard H. Hyde","Contract","Recycling Industries,LLC","1st Quarter 2010","04/02/10"
"McDonough Holland & Allen PC","Contract","Waltrust Properties, Inc./Walgreens","1st Quarter 2010","04/15/10"
"McDonough Holland & Allen PC","Contract","Westfield, LLC","1st Quarter 2010","04/15/10"
"McDonough Holland & Allen PC","Contract","David S. Taylor Interests, Inc.","1st Quarter 2010","04/15/10"
"McDonough Holland & Allen PC","Contract","Arco Arena- Sacramento Kings","1st Quarter 2010","04/15/10"
"McDonough Holland & Allen PC","Contract","Sutter Health","1st Quarter 2010","04/15/10"
"McDonough Holland & Allen PC","Contract","Blue Diamond Growers","1st Quarter 2010","04/15/10"
"Paul R. Curry and Associates","Contract","Raytheon","1st Quarter 2010","04/09/10"
"Rasmusson Public Affairs","Contract","Saca Development","1st Quarter 2010","04/09/10"
"Rasmusson Public Affairs","Contract","CBS Outdoor","1st Quarter 2010","04/09/10"
"Rasmusson Public Affairs","Contract","Sacramento Association of Realtors","1st Quarter 2010","04/09/10"
"Rasmusson Public Affairs","Contract","LPS Asset  Management Solutions, Inc.","1st Quarter 2010","04/09/10"
"Rasmusson Public Affairs","Contract","Tooley Oil Company","1st Quarter 2010","04/09/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","AKT Development","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Riverview Investments","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Petrovich Development Co.","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Loaves & Fishes","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Wind Youth Center","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Avondale Glen Elder Neighborhood Association","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Alleghany Properties, LLC","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","455 Capitol Mall","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Capitol Station 65","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Trinity Cathedral","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Simsmetal America","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Bond Companies","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Clear Channel","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Nestle Waters of North America","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Ranch Capital","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Sacramento Food Bank","1st Quarter 2010","04/15/10"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Gerry Kamilos","1st Quarter 2010","04/15/10"
"Rental Housing Association of Sacramento Valley","Business/ Organization","N/A","1st Quarter 2010","01/04/10"
"Revell Communications","Contract","Sacramento Independent Taxi Owners Association","1st Quarter 2010","04/09/10"
"Robert J. Waste","Contract","Diepenbrock Harrison LLP","1st Quarter 2010","04/13/10"
"Robert J. Waste","Contract","Friends of Ray Tretheway","1st Quarter 2010","04/13/10"
"Robert P. Thomas & Associates","Contract","AKT","1st Quarter 2010","03/31/10"
"Sac-Sierra's Bld & Const Trades Council/Matt Kelly","Business/ Organization","N/A","1st Quarter 2010","04/14/10"
"Taylor & Wiley","Contract","Opus West Corporation","1st Quarter 2010","04/20/10"
"Taylor & Wiley","Contract","John Manikas","1st Quarter 2010","04/20/10"
"Taylor & Wiley","Contract","Meer Capital Partners","1st Quarter 2010","04/20/10"
"Taylor & Wiley","Contract","AKT Development","1st Quarter 2010","04/20/10"
"Taylor & Wiley","Contract","Stonebridge/Teichert","1st Quarter 2010","04/20/10"
"Taylor & Wiley","Contract","Johnny Javanifard","1st Quarter 2010","04/20/10"
"Taylor & Wiley","Contract","Gurjeet Hundal","1st Quarter 2010","04/20/10"
"Taylor & Wiley","Contract","St. Anton","1st Quarter 2010","04/20/10"
"Taylor & Wiley","Contract","California Railroad Museum Foundation","1st Quarter 2010","04/20/10"
"The Hoyt Company","Contract","CHW/Mercy General Hospital","1st Quarter 2010","03/30/10"
"The Hoyt Company","Contract","Separovich Domich","1st Quarter 2010","03/30/10"
"The Hoyt Company","Contract","CA Natural Gas Storage","1st Quarter 2010","03/30/10"
"California Capitol Solutions/Max Del Real","Contract","Sacramento Alliance of Collectives","1st Quarter 2010 Initial","04/06/10"
"Pacific Advocacy Group","Contract","WECA-IEC","1st Quarter 2010 Initial","03/17/10"
"Best, Best & Krieger LLP","Contract","Westfield LLC","1st Quarter 2011","04/19/11"
"Best, Best & Krieger LLP","Contract","David S. Taylor Interest, Inc.","1st Quarter 2011","04/19/11"
"Best, Best & Krieger LLP","Contract","Waltrust Properties Inc./Walgreens","1st Quarter 2011","04/19/11"
"California Capitol Solutions/Max Del Real","Contract","Sacramento Alliance of Collectives","1st Quarter 2011","04/18/11"
"Hefner, Stark & Marois, LLP","Contract","Lily Company","1st Quarter 2011","04/13/11"
"Hefner, Stark & Marois, LLP","Contract","El Darado Savings Bank","1st Quarter 2011","04/13/11"
"Hefner, Stark & Marois, LLP","Contract","North Natomas Sac Region, LLC","1st Quarter 2011","04/13/11"
"Hefner, Stark & Marois, LLP","Contract","Northwest Land Park, LLC","1st Quarter 2011","04/13/11"
"Holloway Land Company","Contract","Drake Developments of California, Inc.","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","21st & I, LLC","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Trammell Crow Residential","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Recycling Industries","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Foothill Partners","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Paul & Milka Lausevic","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","James Marcus","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Investors Choice","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Sisler and Sisler","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Pacific Housing","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Fresh & Easy Neighborhood Market","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Mueller Pet Hospital","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","PC & F","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Brothers Development","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Daru Development","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Inve$tnet","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Little Real Estate Services","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Stan Hazelroth","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","A Therapeutic Alternative","1st Quarter 2011","05/09/11"
"Holloway Land Company","Contract","Cha Cha's Doggie Daycare","1st Quarter 2011","05/09/11"
"Law Offices of George Phillips","Contract","Ose Properties","1st Quarter 2011","05/11/11"
"Law Offices of Gregory D. Thatch","Contract","Armour Steel Company","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Downtown Ford","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Fritz Brown","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Granite Bay Development","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Jerry Greenberg","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","K. Hovnanian Forecast Homes Northern, Inc.","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","KB Home","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Kern Schumacher (Natomas Creek, LLC; Natomas Meadows, LLC; Commerce Station, LLC; East Commerce Parkway, LLC; and Natomas Towne Center, LLC)","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Kevin Donnelly","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Lewis Operating Corp.","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","M&H Realty Partners, VI, L.P.","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","National Electric Contractors Association","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","National Wood Products","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Panatonni Development Company","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Paratransit, Inc.","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Park El Camino-Natomas, LLC","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Presidio Hotel Group","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Priority Ventures","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Regent Development, Inc.","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","S-360 Development","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Schetter Electric Company, Inc.","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Stockton Blvd. Partners, LLC","1st Quarter 2011","04/13/11"
"Law Offices of Gregory D. Thatch","Contract","Yellow Cab Company of Sacramento","1st Quarter 2011","04/13/11"
"Law Offices of Richard H. Hyde","Contract","Z Gallerie","1st Quarter 2011","04/19/11"
"Law Offices of Richard H. Hyde","Contract","13th and I Associates","1st Quarter 2011","04/19/11"
"Law Offices of Richard H. Hyde","Contract","Township 9 (Fomerly known as Capitol Station 65, LLC)","1st Quarter 2011","04/19/11"
"Law Offices of Richard H. Hyde","Contract","California Fairs Financing Authority dba California Construction","1st Quarter 2011","04/19/11"
"Law Offices of Richard H. Hyde","Contract","Lucas Enterprises","1st Quarter 2011","04/19/11"
"Law Offices of Richard H. Hyde","Contract","Sotiris K. Kolkotronis dba SKK Development Company","1st Quarter 2011","04/19/11"
"Law Offices of Richard H. Hyde","Contract","Recycling Industries,LLC","1st Quarter 2011","04/19/11"
"Pacific Advocacy Group","Contract","WECA-IEC","1st Quarter 2011","04/19/11"
"Pacific Advocacy Group","Contract","PHCC of California","1st Quarter 2011","04/19/11"
"Pacific Investment Management Company","Business/ Organization","N/A","1st Quarter 2011","04/08/11"
"Paul R. Curry and Associates","Contract","Raytheon","1st Quarter 2011",""
"Rasmusson Public Affairs","Contract","Saca Development","1st Quarter 2011","04/14/11"
"Rasmusson Public Affairs","Contract","CBS Outdoor","1st Quarter 2011","04/14/11"
"Rasmusson Public Affairs","Contract","Sacramento Association of Realtors","1st Quarter 2011","04/14/11"
"Rasmusson Public Affairs","Contract","LPS Asset  Management Solutions, Inc.","1st Quarter 2011","04/14/11"
"Rasmusson Public Affairs","Contract","One Love Wellness","1st Quarter 2011","04/14/11"
"Rasmusson Public Affairs","Contract","Tooley Oil Company","1st Quarter 2011","04/14/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","455 Capitol Mall","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","AKT Development","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Alleghany Properties, LLC","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Avondale Glen Elder Neighborhood Association","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Capitol Station 65","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Clear Channel","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Gerry Kamilos","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Loaves & Fishes","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Nestle Waters of North America","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Pat Flanagan","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Petrovich Development Co.","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Ranch Capital","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Riverview Investments","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Sacramento Food Bank","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Sims Metal America","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Trinity Cathedral","1st Quarter 2011","04/15/11"
"Remy, Thomas, Moose, and Manley, LLP","Contract","Wind Youth Center","1st Quarter 2011","04/15/11"
"Rental Housing Association of Sacramento Valley","Business/ Organization","N/A","1st Quarter 2011","05/06/11"
"Revell Communications","Contract","Sacramento Independent Taxi Owners Association","1st Quarter 2011","04/11/11"
"Revell Communications","Contract","American Promotional Events, Inc, (aka TNT Fireworks)","1st Quarter 2011",""
"Robert P. Thomas & Associates","Contract","AKT","1st Quarter 2011","05/17/11"
"Sac-Sierra's Bld & Const Trades Council/Matt Kelly","Business/ Organization","N/A","1st Quarter 2011","05/05/11"
"Taylor & Wiley","Contract","Opus West Corporation","1st Quarter 2011","05/11/11"
"Taylor & Wiley","Contract","John Manikas","1st Quarter 2011","05/11/11"
"Taylor & Wiley","Contract","Meer Capital Partners","1st Quarter 2011","05/11/11"
"Taylor & Wiley","Contract","AKT Development","1st Quarter 2011","05/11/11"
"Taylor & Wiley","Contract","Stonebridge/Teichert","1st Quarter 2011","05/11/11"
"Taylor & Wiley","Contract","Johnny Javanifard","1st Quarter 2011","05/11/11"
"Taylor & Wiley","Contract","Gurjeet Hundal","1st Quarter 2011","05/11/11"
"Taylor & Wiley","Contract","St. Anton","1st Quarter 2011","05/11/11"
"Taylor & Wiley","Contract","Kevin Terry/500 Richards","1st Quarter 2011","05/11/11"
"Taylor & Wiley","Contract","California Railroad Museum Foundation","1st Quarter 2011","05/11/11"
"JDAD, Inc.","Contract","No Client Information","1st Quarter 2011 Termination","05/13/11"
"Best, Best & Krieger LLP","Contract","David S. Taylor Interest, Inc.","1st Quarter 2012","04/16/12"
"California Capitol Solutions/Max Del Real","Contract","A Therapeutic Alternative","1st Quarter 2012","04/18/12"
"California Capitol Solutions/Max Del Real","Contract","El Camino Wellness Center","1st Quarter 2012","04/18/12"
"California Capitol Solutions/Max Del Real","Contract","Fruitridge Health and Wellness Collective","1st Quarter 2012","04/18/12"
"California Capitol Solutions/Max Del Real","Contract","Sacramento Alliance of Collectives","1st Quarter 2012","04/18/12"
"Holloway Land Company","Contract","21st & I, LLC","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","7-Eleven, Inc.","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","A Therapeutic Alternative","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Brothers Development","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Cha Cha's Doggie Daycare","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Daru Development","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Drake Developments of California, Inc.","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Evergreen Development Co./Dollar General Stores","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Foothill Partners","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Fresh & Easy Neighborhood Market","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Hugs Dispensary","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Inve$tnet","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Investors Choice","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","James Marcus","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Little Real Estate Services","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Mueller Pet Hospital","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Pacific Housing","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Paul & Milka Lausevic","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","PC & F","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Power Inn Alliance","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Recycling Industries","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Sisler and Sisler","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Stan Hazelroth","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Taylor and Wiley","1st Quarter 2012","04/11/12"
"Holloway Land Company","Contract","Trammell Crow Residential","1st Quarter 2012","04/11/12"
"Law Offices of Gregory D. Thatch","Contract","Alleghany Properties, Inc.","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Armour Steel Company","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Brookfield Natomas, LLC","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Downtown Ford","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Fritz Brown","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Granite Bay Development","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Howe & University, LLC","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Jerry Greenberg","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","K. Hovnanian Forecast Homes Northern, Inc.","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","KB Home","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Kern Schumacher (Natomas Creek, LLC; Natomas Meadows, LLC; Commerce Station, LLC; East Commerce Parkway, LLC; and Natomas Towne Center, LLC)","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Lewis Operating Corp.","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","M&H Realty Partners, VI, L.P.","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Panatonni Development Company","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Paratransit, Inc.","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Park El Camino-Natomas, LLC","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Presidio Hotel Group","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Regent Development, Inc.","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","S-360 Development","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Schetter Electric Company, Inc.","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","Shea Homes","1st Quarter 2012","04/09/12"
"Law Offices of Gregory D. Thatch","Contract","TIAA-CREF","1st Quarter 2012","04/09/12"
"Law Offices of Richard H. Hyde","Contract","13th and I Associates","1st Quarter 2012","04/16/12"
"Law Offices of Richard H. Hyde","Contract","California Fairs Financing Authority dba California Construction","1st Quarter 2012","04/16/12"
"Law Offices of Richard H. Hyde","Contract","GMA Investors","1st Quarter 2012","04/16/12"
"Law Offices of Richard H. Hyde","Contract","Lucas Enterprises","1st Quarter 2012","04/16/12"
"Law Offices of Richard H. Hyde","Contract","Sotiris K. Kolkotronis dba SKK Development Company","1st Quarter 2012","04/16/12"
"Law Offices of Richard H. Hyde","Contract","Township 9 (Fomerly known as Capitol Station 65, LLC)","1st Quarter 2012","04/16/12"
"Law Offices of Richard H. Hyde","Contract","Z Gallerie","1st Quarter 2012","04/16/12"
"Pacific Advocacy Group","Contract","WECA-IEC","1st Quarter 2012","04/11/12"
"Pacific Advocacy Group","Contract","PHCC of California","1st Quarter 2012","04/11/12"
"Pacific Investment Management Company","Business/ Organization","N/A","1st Quarter 2012","04/11/12"
"Paul R. Curry and Associates","Contract","Raytheon","1st Quarter 2012","04/16/12"
"Pershing Square Capital Management LP","Business/ Organization","No clients/Placement Agent","1st Quarter 2012","04/16/12"
